commodity,week_offset,week_label,kind,price,price_lower,price_upper
COPPER,-26,W-26,actual,9300.53,9300.53,9300.53
COPPER,-25,W-25,actual,9409.21,9409.21,9409.21
COPPER,-24,W-24,actual,9427.69,9427.69,9427.69
COPPER,-23,W-23,actual,9210.36,9210.36,9210.36
COPPER,-22,W-22,actual,9382.93,9382.93,9382.93
COPPER,-21,W-21,actual,9585.85,9585.85,9585.85
COPPER,-20,W-20,actual,9576.38,9576.38,9576.38
COPPER,-19,W-19,actual,9537.04,9537.04,9537.04
COPPER,-18,W-18,actual,9514.17,9514.17,9514.17
COPPER,-17,W-17,actual,9375.0,9375.0,9375.0
COPPER,-16,W-16,actual,9529.49,9529.49,9529.49
COPPER,-15,W-15,actual,9451.89,9451.89,9451.89
COPPER,-14,W-14,actual,9444.63,9444.63,9444.63
COPPER,-13,W-13,actual,9332.24,9332.24,9332.24
COPPER,-12,W-12,actual,9244.6,9244.6,9244.6
COPPER,-11,W-11,actual,9067.42,9067.42,9067.42
COPPER,-10,W-10,actual,9238.4,9238.4,9238.4
COPPER,-9,W-9,actual,9217.04,9217.04,9217.04
COPPER,-8,W-8,actual,9350.59,9350.59,9350.59
COPPER,-7,W-7,actual,9352.46,9352.46,9352.46
COPPER,-6,W-6,actual,9255.04,9255.04,9255.04
COPPER,-5,W-5,actual,9209.69,9209.69,9209.69
COPPER,-4,W-4,actual,9132.3,9132.3,9132.3
COPPER,-3,W-3,actual,9133.39,9133.39,9133.39
COPPER,-2,W-2,actual,9081.98,9081.98,9081.98
COPPER,-1,W-1,actual,9041.12,9041.12,9041.12
COPPER,0,W+0,forecast,8854.16,8411.45,9296.87
COPPER,1,W+1,forecast,8747.0,8274.66,9219.34
COPPER,2,W+2,forecast,8964.02,8444.11,9483.93
COPPER,3,W+3,forecast,8873.77,8323.59,9423.94
COPPER,4,W+4,forecast,8733.46,8157.05,9309.87
COPPER,5,W+5,forecast,8777.65,8163.21,9392.09
COPPER,6,W+6,forecast,8962.94,8299.68,9626.2
COPPER,7,W+7,forecast,8767.45,8083.59,9451.31
COPPER,8,W+8,forecast,8740.03,8023.35,9456.71
COPPER,9,W+9,forecast,8657.17,7912.65,9401.68
COPPER,10,W+10,forecast,8428.49,7669.92,9187.05
COPPER,11,W+11,forecast,8521.4,7720.39,9322.41
RARE-EARTH,-26,W-26,actual,99.96,99.96,99.96
RARE-EARTH,-25,W-25,actual,100.07,100.07,100.07
RARE-EARTH,-24,W-24,actual,98.94,98.94,98.94
RARE-EARTH,-23,W-23,actual,99.62,99.62,99.62
RARE-EARTH,-22,W-22,actual,98.81,98.81,98.81
RARE-EARTH,-21,W-21,actual,98.6,98.6,98.6
RARE-EARTH,-20,W-20,actual,96.96,96.96,96.96
RARE-EARTH,-19,W-19,actual,95.19,95.19,95.19
RARE-EARTH,-18,W-18,actual,97.1,97.1,97.1
RARE-EARTH,-17,W-17,actual,96.36,96.36,96.36
RARE-EARTH,-16,W-16,actual,96.78,96.78,96.78
RARE-EARTH,-15,W-15,actual,96.73,96.73,96.73
RARE-EARTH,-14,W-14,actual,96.09,96.09,96.09
RARE-EARTH,-13,W-13,actual,95.36,95.36,95.36
RARE-EARTH,-12,W-12,actual,96.26,96.26,96.26
RARE-EARTH,-11,W-11,actual,95.83,95.83,95.83
RARE-EARTH,-10,W-10,actual,95.61,95.61,95.61
RARE-EARTH,-9,W-9,actual,95.64,95.64,95.64
RARE-EARTH,-8,W-8,actual,97.33,97.33,97.33
RARE-EARTH,-7,W-7,actual,98.32,98.32,98.32
RARE-EARTH,-6,W-6,actual,98.89,98.89,98.89
RARE-EARTH,-5,W-5,actual,98.05,98.05,98.05
RARE-EARTH,-4,W-4,actual,96.02,96.02,96.02
RARE-EARTH,-3,W-3,actual,97.39,97.39,97.39
RARE-EARTH,-2,W-2,actual,98.8,98.8,98.8
RARE-EARTH,-1,W-1,actual,98.59,98.59,98.59
RARE-EARTH,0,W+0,forecast,99.39,94.42,104.36
RARE-EARTH,1,W+1,forecast,100.55,95.12,105.98
RARE-EARTH,2,W+2,forecast,101.81,95.9,107.71
RARE-EARTH,3,W+3,forecast,103.22,96.82,109.61
RARE-EARTH,4,W+4,forecast,102.51,95.74,109.28
RARE-EARTH,5,W+5,forecast,104.84,97.5,112.18
RARE-EARTH,6,W+6,forecast,102.88,95.27,110.49
RARE-EARTH,7,W+7,forecast,104.21,96.08,112.34
RARE-EARTH,8,W+8,forecast,104.98,96.37,113.59
RARE-EARTH,9,W+9,forecast,106.36,97.21,115.5
RARE-EARTH,10,W+10,forecast,109.35,99.51,119.2
RARE-EARTH,11,W+11,forecast,111.79,101.28,122.3
STEEL,-26,W-26,actual,3774.04,3774.04,3774.04
STEEL,-25,W-25,actual,3678.44,3678.44,3678.44
STEEL,-24,W-24,actual,3723.51,3723.51,3723.51
STEEL,-23,W-23,actual,3666.82,3666.82,3666.82
STEEL,-22,W-22,actual,3666.14,3666.14,3666.14
STEEL,-21,W-21,actual,3712.32,3712.32,3712.32
STEEL,-20,W-20,actual,3620.78,3620.78,3620.78
STEEL,-19,W-19,actual,3506.19,3506.19,3506.19
STEEL,-18,W-18,actual,3519.83,3519.83,3519.83
STEEL,-17,W-17,actual,3522.17,3522.17,3522.17
STEEL,-16,W-16,actual,3509.18,3509.18,3509.18
STEEL,-15,W-15,actual,3511.21,3511.21,3511.21
STEEL,-14,W-14,actual,3465.89,3465.89,3465.89
STEEL,-13,W-13,actual,3387.2,3387.2,3387.2
STEEL,-12,W-12,actual,3378.74,3378.74,3378.74
STEEL,-11,W-11,actual,3329.49,3329.49,3329.49
STEEL,-10,W-10,actual,3247.41,3247.41,3247.41
STEEL,-9,W-9,actual,3272.04,3272.04,3272.04
STEEL,-8,W-8,actual,3269.03,3269.03,3269.03
STEEL,-7,W-7,actual,3288.96,3288.96,3288.96
STEEL,-6,W-6,actual,3240.16,3240.16,3240.16
STEEL,-5,W-5,actual,3208.17,3208.17,3208.17
STEEL,-4,W-4,actual,3160.1,3160.1,3160.1
STEEL,-3,W-3,actual,3118.07,3118.07,3118.07
STEEL,-2,W-2,actual,3127.21,3127.21,3127.21
STEEL,-1,W-1,actual,3090.48,3090.48,3090.48
STEEL,0,W+0,forecast,3106.99,2951.64,3262.34
STEEL,1,W+1,forecast,3122.82,2954.19,3291.45
STEEL,2,W+2,forecast,3217.69,3031.06,3404.31
STEEL,3,W+3,forecast,3150.46,2955.13,3345.79
STEEL,4,W+4,forecast,3192.42,2981.72,3403.12
STEEL,5,W+5,forecast,3188.14,2964.97,3411.31
STEEL,6,W+6,forecast,3187.47,2951.59,3423.34
STEEL,7,W+7,forecast,3118.14,2874.93,3361.36
STEEL,8,W+8,forecast,3096.62,2842.7,3350.54
STEEL,9,W+9,forecast,3131.14,2861.86,3400.42
STEEL,10,W+10,forecast,3127.27,2845.81,3408.72
STEEL,11,W+11,forecast,3131.07,2836.75,3425.39
SILICON,-26,W-26,actual,8761.63,8761.63,8761.63
SILICON,-25,W-25,actual,8913.36,8913.36,8913.36
SILICON,-24,W-24,actual,8910.49,8910.49,8910.49
SILICON,-23,W-23,actual,8616.39,8616.39,8616.39
SILICON,-22,W-22,actual,8526.94,8526.94,8526.94
SILICON,-21,W-21,actual,8275.13,8275.13,8275.13
SILICON,-20,W-20,actual,7871.54,7871.54,7871.54
SILICON,-19,W-19,actual,7808.94,7808.94,7808.94
SILICON,-18,W-18,actual,7965.15,7965.15,7965.15
SILICON,-17,W-17,actual,7970.78,7970.78,7970.78
SILICON,-16,W-16,actual,7830.59,7830.59,7830.59
SILICON,-15,W-15,actual,7720.09,7720.09,7720.09
SILICON,-14,W-14,actual,7851.02,7851.02,7851.02
SILICON,-13,W-13,actual,7869.58,7869.58,7869.58
SILICON,-12,W-12,actual,7875.25,7875.25,7875.25
SILICON,-11,W-11,actual,7868.93,7868.93,7868.93
SILICON,-10,W-10,actual,7873.47,7873.47,7873.47
SILICON,-9,W-9,actual,7968.59,7968.59,7968.59
SILICON,-8,W-8,actual,8034.63,8034.63,8034.63
SILICON,-7,W-7,actual,8060.63,8060.63,8060.63
SILICON,-6,W-6,actual,7934.54,7934.54,7934.54
SILICON,-5,W-5,actual,7995.37,7995.37,7995.37
SILICON,-4,W-4,actual,7913.31,7913.31,7913.31
SILICON,-3,W-3,actual,8043.15,8043.15,8043.15
SILICON,-2,W-2,actual,7889.8,7889.8,7889.8
SILICON,-1,W-1,actual,7873.51,7873.51,7873.51
SILICON,0,W+0,forecast,7872.64,7479.01,8266.27
SILICON,1,W+1,forecast,7716.21,7299.54,8132.89
SILICON,2,W+2,forecast,7915.52,7456.42,8374.62
SILICON,3,W+3,forecast,8088.92,7587.41,8590.43
SILICON,4,W+4,forecast,8032.67,7502.51,8562.83
SILICON,5,W+5,forecast,8125.66,7556.86,8694.45
SILICON,6,W+6,forecast,8171.81,7567.1,8776.52
SILICON,7,W+7,forecast,7851.45,7239.03,8463.86
SILICON,8,W+8,forecast,7880.94,7234.7,8527.17
SILICON,9,W+9,forecast,7873.69,7196.55,8550.82
SILICON,10,W+10,forecast,7883.51,7174.0,8593.03
SILICON,11,W+11,forecast,7756.17,7027.09,8485.25
ALUMINIUM,-26,W-26,actual,2569.58,2569.58,2569.58
ALUMINIUM,-25,W-25,actual,2562.71,2562.71,2562.71
ALUMINIUM,-24,W-24,actual,2608.38,2608.38,2608.38
ALUMINIUM,-23,W-23,actual,2621.46,2621.46,2621.46
ALUMINIUM,-22,W-22,actual,2621.24,2621.24,2621.24
ALUMINIUM,-21,W-21,actual,2681.36,2681.36,2681.36
ALUMINIUM,-20,W-20,actual,2659.03,2659.03,2659.03
ALUMINIUM,-19,W-19,actual,2643.49,2643.49,2643.49
ALUMINIUM,-18,W-18,actual,2571.46,2571.46,2571.46
ALUMINIUM,-17,W-17,actual,2631.98,2631.98,2631.98
