entity_id,entity_type,week_offset,week_label,kind,qty,qty_lower,qty_upper
EVSED-P,product,-26,W-26,actual,226,226,226
EVSED-P,product,-25,W-25,actual,226,226,226
EVSED-P,product,-24,W-24,actual,222,222,222
EVSED-P,product,-23,W-23,actual,217,217,217
EVSED-P,product,-22,W-22,actual,219,219,219
EVSED-P,product,-21,W-21,actual,215,215,215
EVSED-P,product,-20,W-20,actual,222,222,222
EVSED-P,product,-19,W-19,actual,229,229,229
EVSED-P,product,-18,W-18,actual,217,217,217
EVSED-P,product,-17,W-17,actual,217,217,217
EVSED-P,product,-16,W-16,actual,224,224,224
EVSED-P,product,-15,W-15,actual,224,224,224
EVSED-P,product,-14,W-14,actual,222,222,222
EVSED-P,product,-13,W-13,actual,215,215,215
EVSED-P,product,-12,W-12,actual,222,222,222
EVSED-P,product,-11,W-11,actual,229,229,229
EVSED-P,product,-10,W-10,actual,217,217,217
EVSED-P,product,-9,W-9,actual,224,224,224
EVSED-P,product,-8,W-8,actual,215,215,215
EVSED-P,product,-7,W-7,actual,222,222,222
EVSED-P,product,-6,W-6,actual,219,219,219
EVSED-P,product,-5,W-5,actual,233,233,233
EVSED-P,product,-4,W-4,actual,229,229,229
EVSED-P,product,-3,W-3,actual,243,243,243
EVSED-P,product,-2,W-2,actual,245,245,245
EVSED-P,product,-1,W-1,actual,245,245,245
EVSED-P,product,0,W+0,forecast,247,231,266
EVSED-P,product,1,W+1,forecast,252,231,271
EVSED-P,product,2,W+2,forecast,254,233,275
EVSED-P,product,3,W+3,forecast,257,233,280
EVSED-P,product,4,W+4,forecast,259,236,285
EVSED-P,product,5,W+5,forecast,261,236,289
EVSED-P,product,6,W+6,forecast,266,238,294
EVSED-P,product,7,W+7,forecast,268,238,296
EVSED-P,product,8,W+8,forecast,271,238,301
EVSED-P,product,9,W+9,forecast,271,238,306
EVSED-P,product,10,W+10,forecast,273,238,308
EVSED-P,product,11,W+11,forecast,275,238,313
EVSED-E,product,-26,W-26,actual,313,313,313
EVSED-E,product,-25,W-25,actual,331,331,331
EVSED-E,product,-24,W-24,actual,336,336,336
EVSED-E,product,-23,W-23,actual,336,336,336
EVSED-E,product,-22,W-22,actual,320,320,320
